"","Factor 1","Factor 2","Factor 3","Factor 4"
"ENSG00000207815",0.109612628817558,-0.00163961632642895,-0.0845183357596397,3.47472655448655e-06
"ENSG00000208032",-0.0220752656459808,0.18258772790432,0.0183275863528252,1.16039482236374e-05
"ENSG00000264201",0.0160084366798401,0.0489850603044033,-0.0413728728890419,2.08639949050848e-06
"ENSG00000276830",-0.0357267186045647,-0.0544414073228836,0.125341981649399,8.50118283324264e-07
"ENSG00000221634",0.0548525117337704,0.00154640548862517,-0.0385793894529343,-5.75870126340305e-06
"ENSG00000265874",0.0471216700971127,0.00154604529961944,0.0594572573900223,2.25130406761309e-06
"ENSG00000266589",0.0320453755557537,-0.00904119201004505,-0.0322837568819523,-3.97859957956825e-06
"ENSG00000265658",-0.0563949383795261,-0.0496696718037128,0.107012704014778,1.25948758977756e-06
"ENSG00000266555",0.0240914355963469,0.0196985751390457,-0.0396455973386765,5.38742597200326e-06
"ENSG00000221184",0.114797040820122,0.00101757177617401,-0.0221440382301807,1.03118952665682e-06
"ENSG00000276926",-0.0505676418542862,-0.0800778269767761,0.0610251799225807,1.00398283393588e-05
"ENSG00000207613",0.0378417409956455,0.039295956492424,-0.0156948324292898,-9.26133543543983e-06
"ENSG00000264757",-0.00764479953795671,-0.0229184068739414,-0.0360074788331985,-1.26694783375569e-06
"ENSG00000273555",-0.0405429117381573,-0.0534414313733578,0.00484172301366925,-1.42878843689687e-06
"ENSG00000264500",0.00474867038428783,0.0341805443167686,-0.00472082756459713,-3.6709811865876e-06
"ENSG00000264349",-0.0717114806175232,-0.0290781352669001,-0.0223633907735348,-5.03783712701988e-06
"ENSG00000264814",0.1163434907794,0.0588102005422115,-0.0197115559130907,-1.19169033041544e-06
"ENSG00000274620",0.0481476038694382,0.00200636265799403,-0.0432599969208241,8.88836666490533e-07
"ENSG00000276580",0.0654910132288933,0.0101470770314336,0.00124005821999162,-7.01681130976795e-07
"ENSG00000278598",0.00612318655475974,0.00539067387580872,-0.0297910645604134,-4.09160247727414e-06
