"","Factor 1","Factor 2","Factor 3","Factor 4"
"RB1",-6.17007244727574e-05,-3.29170652548783e-05,9.73710757534718e-06,1.47728815136361e-05
"ATP10A",-6.8429012571869e-06,-4.14243731938768e-05,8.71312204253627e-06,-4.50247216576827e-06
"ADAMTS18",-5.15896499564406e-06,-2.25429630518192e-05,-1.14713554921764e-06,7.90608828538097e-06
"NBAS",5.99888153374195e-06,7.32327953301137e-06,-5.93483537159045e-06,7.67608639762329e-07
"ST6GAL2",-3.91345702155377e-06,-4.75940305477707e-06,9.35039736305043e-07,1.3937623180027e-06
"PTPRT",3.9445197108634e-10,-6.433639732073e-10,7.74280140003469e-10,-1.62041102758081e-10
"AZGP1",3.9445197108634e-10,-6.433639732073e-10,7.74280140003469e-10,-1.62041102758081e-10
"REPIN1",-5.27608926859102e-06,3.2183081657422e-06,2.70163081950159e-06,-2.74206877293182e-06
"BCOR",7.55353721615393e-06,4.47112834081054e-05,-4.23882956965826e-05,2.6321918994654e-05
"SPTA1",-3.85141393053345e-05,-3.84072845918126e-05,-5.00766373079387e-06,1.03678949017194e-05
"REN",-5.49544893146958e-06,9.20352886168985e-06,1.34360550418933e-06,-3.65265077562071e-06
"ACACB",4.37320341006853e-06,5.76503953197971e-06,2.88872274722962e-06,-6.31441980658565e-06
"ESR2",-5.69624944546376e-07,-1.90337104868377e-05,-8.31447960081277e-06,-3.1829893032409e-06
"HERC2",1.7705342543195e-06,-1.23804011309403e-05,2.29687174169158e-07,-5.40765086043393e-06
"NEB",2.06314161914634e-05,-1.57530794240301e-05,-1.96073178813094e-05,-3.01791743595459e-07
"CABIN1",-6.25155007583089e-06,-2.41221869146102e-06,-2.43786471401108e-05,-4.29356168751838e-06
"ADCY5",-1.00461938927765e-05,5.04954005009495e-06,-1.26144448131527e-06,7.60787941089802e-07
"MUC4",-1.16787932711304e-05,1.38560142204369e-06,-2.19741218643321e-06,8.32270757200604e-07
"GABRA4",-7.44563249099883e-06,9.11923598323483e-06,-2.24822706513805e-05,3.60418812306307e-06
"DNAH5",2.32676211453509e-06,1.05677108876989e-05,-2.15301170101156e-05,-2.66393863057601e-06
"PCDHA1",-2.99400198855437e-05,-2.07431621674914e-05,-1.85450915068941e-06,9.54805364017375e-06
"DYNC1I1",-3.84477198167588e-06,3.39405278282356e-06,-3.38950781042513e-06,-7.44154340281966e-06
"ZFAT",6.42742952550179e-06,-6.3603852140659e-06,6.55838039165246e-06,1.55023553816136e-06
"ZFHX3",-1.15341536002234e-05,-1.38673613037099e-05,2.80376099226487e-07,7.15613168722484e-06
"PLCG2",-8.37614152260358e-06,1.82781252533459e-06,1.98903921955207e-06,5.53584459339618e-06
"LRP1B",4.71644824528994e-07,1.79453741111502e-06,6.95494691171916e-07,-5.61456147352146e-07
"DNAH7",-2.28973622142803e-05,-1.60186136781704e-05,-7.77236982685281e-06,-1.33507719510817e-05
"CACNA1D",-1.14081449282821e-05,-1.5546909708064e-05,-1.14657759695547e-05,7.34494869902846e-06
"GABRA1",-1.78713307832368e-05,-5.21070751346997e-06,-6.44552244466468e-07,5.34254922968103e-06
"EPPK1",-1.46219881571596e-05,-4.82253053633031e-05,-1.37845145218307e-05,1.88520043593599e-05
"DNAH11",-1.82158019015333e-05,-3.01912641589297e-05,-7.82624829298584e-06,-5.14376233695657e-06
"KIF19",-5.10204836245975e-06,-6.54308280445548e-07,3.62525406671921e-06,4.91893842990976e-06
"OR5AR1",3.9445197108634e-10,-6.433639732073e-10,7.74280140003469e-10,-1.62041102758081e-10
"TMEM132B",8.47138181825358e-08,-1.58417515194742e-05,2.37047038353921e-06,-1.70134580912418e-06
"FANCM",7.01417366144597e-06,-5.81332096771803e-06,1.17573063107557e-06,8.75195837579668e-06
"APOB",7.10319363861345e-06,-3.49925430782605e-05,1.64561060955748e-06,4.2380697777844e-06
"NRXN1",-6.54531186228269e-06,1.14121139631607e-05,-3.60233502760821e-06,8.81670712260529e-06
"COL7A1",1.19625110528432e-06,-5.61442857360817e-06,-9.11293409444625e-06,-2.78336256087641e-06
"ANK2",-1.9516580778145e-06,-8.77243019203888e-06,-4.75525666843168e-06,7.76034426053229e-07
"SYNE1",1.24151965792407e-05,1.5657600670238e-05,-9.18579826247878e-06,2.1141962861293e-05
"Unknown",-0.000778573332354426,-0.000137612136313692,-0.000106079467514064,-1.91738945432007e-05
"PTPRD",-1.0517159353185e-05,1.35260540901072e-06,-2.26391557589523e-06,1.51714311869e-06
"CFH",-3.24034499499248e-06,2.35482275456889e-05,5.70933980270638e-06,-1.26437253129552e-05
"ZNF492",-2.18257287087908e-06,-5.62684999749763e-06,-4.35861829828355e-06,-6.9704833549622e-06
"CEACAM5",-2.86020417661348e-06,-6.1299001572479e-06,6.13646989222616e-06,9.11670940695331e-06
"LILRB2",-6.37178118267911e-06,-1.93071100511588e-05,3.4296972444281e-06,-9.48101751419017e-06
"HEATR5B",-1.94995482161175e-06,8.57564828038448e-06,-3.57223507307936e-05,1.33225182707974e-06
"LZTR1",-1.24482767205336e-05,-1.88384256034624e-05,-2.30182195082307e-05,-8.36231629364192e-06
"DEPDC5",-1.98872676264727e-05,-2.81532411463559e-05,-1.0405105058453e-05,-2.53840516961645e-06
"CUBN",2.41414727497613e-06,2.30797686526785e-05,7.37699053843244e-07,-6.73470913170604e-06
"PTPRB",6.34305024505011e-06,1.49391735249083e-05,-1.39353278427734e-05,-7.98192741058301e-06
"ANKRD11",1.35681630126783e-05,4.35574247603654e-06,-7.25184818861635e-08,-1.62217711476842e-05
"TCHH",-1.41781201818958e-05,-3.47128298017196e-05,-2.60868637269596e-05,-2.12297200050671e-05
"RYR2",-1.28455003505223e-05,-8.32919613458216e-05,2.90930929622846e-05,-1.10315986603382e-05
"ZNF638",-8.63236164150294e-06,-7.48913362258463e-06,5.13301301907632e-06,1.50083928929234e-06
"KCNH8",1.19697460831958e-06,1.10581904664286e-05,3.91069352190243e-06,-2.97504857371678e-06
"FLG2",-1.27423390949843e-05,-2.64376340055605e-05,-1.50181458593579e-05,-8.05983199825278e-06
"F5",-1.23799854918616e-05,-4.93843344884226e-07,-9.62746162258554e-06,7.46575688026496e-06
"NAV3",-3.36058428729302e-06,1.9968545075244e-06,5.80662481297622e-06,-5.22935988556128e-06
"FBN3",-2.20746824197704e-05,-7.97044503997313e-06,1.30746348077082e-05,7.18805631549913e-06
"MYH15",8.52106677484699e-06,9.72085103967402e-07,-1.18032937734824e-06,9.22265735425754e-06
