"","Factor 1","Factor 2","Factor 3","Factor 4"
"ENSG00000011083",0.000604097614996135,0.437010169029236,0.043454248458147,-8.17212878700957e-07
"ENSG00000205279",0.00794197618961334,0.406199336051941,-0.00525658344849944,2.80945158692703e-07
"ENSG00000173157",0.333189845085144,-0.0333627946674824,0.00629536947235465,-5.25020914210472e-06
"ENSG00000104722",0.015702260658145,0.433990746736526,0.0377109013497829,-1.14068154744018e-06
"ENSG00000008196",-0.16404016315937,-0.0360897593200207,-0.172686457633972,1.17001345643075e-05
"ENSG00000258227",-0.294138669967651,-0.1598149985075,0.0849354416131973,3.76239549950697e-05
"ENSG00000152595",-0.0605660267174244,0.299245297908783,-0.0591271333396435,-3.29745972749151e-07
"ENSG00000165762",0.240928769111633,-0.154355213046074,0.227239042520523,-1.9945686290157e-05
"ENSG00000136542",-0.316899567842484,-0.0567587539553642,-0.021905804052949,2.85016085399548e-05
"ENSG00000144481",-0.300754994153976,-0.114285178482533,-0.0354541391134262,2.18517325265566e-05
"ENSG00000186973",-0.300678849220276,-0.0894663631916046,0.0770186185836792,2.91957940135035e-06
"ENSG00000046604",-0.308147579431534,0.0062370803207159,0.000396377814467996,2.18719869735651e-05
"ENSG00000215474",0.08932214230299,0.0240295752882957,-0.127388760447502,3.15427168970928e-05
"ENSG00000151952",0.0450809225440025,0.405889689922333,-0.0277508944272995,1.9883284039679e-05
"ENSG00000129152",0.244038075208664,0.137736961245537,0.00256229261867702,1.13401774797239e-05
"ENSG00000128652",-0.0909507498145103,-0.120236344635487,-0.0699663311243057,2.808559429468e-06
"ENSG00000164651",-0.270316004753113,0.181834265589714,-0.0839338377118111,4.25127495873312e-07
"ENSG00000198768",-0.294091433286667,-0.0321075096726418,-0.0405421741306782,9.61570985964499e-05
"ENSG00000135426",-0.0608243905007839,0.396958142518997,0.0333554744720459,1.48147904610596e-07
"ENSG00000099715",0.131543785333633,0.162650316953659,0.12791919708252,-0.264879941940308
"ENSG00000133067",-0.277930408716202,0.0959094539284706,0.0232612770050764,-1.89218155810522e-06
"ENSG00000176884",0.115141823887825,0.398208320140839,-0.00267030438408256,9.85245662832313e-08
"ENSG00000225110",0.0248757638037205,0.418361604213715,0.0555220171809196,-2.36089135796647e-06
"ENSG00000188488",-0.287442952394485,-0.102834075689316,0.00953570380806923,8.7104199337773e-06
"ENSG00000106006",-0.304040521383286,-0.132907643914223,-0.0737840235233307,8.78201353771146e-06
"ENSG00000110887",0.0256377253681421,0.109868600964546,0.0736028030514717,-4.67068730358733e-07
"ENSG00000134460",-0.1435836404562,-0.223805114626884,-0.00706023909151554,-8.21355206426233e-06
"ENSG00000169245",-0.232771754264832,-0.189774706959724,0.0165703203529119,-2.05873618597252e-07
"ENSG00000157330",-0.207620218396187,-0.0823166817426682,0.0606316961348057,1.39240883072489e-05
"ENSG00000153820",0.299848079681396,0.193497732281685,0.0599455162882805,-3.05312460113782e-06
"ENSG00000136574",-0.272240310907364,-0.0924147665500641,-0.106354996562004,-2.94469737127656e-06
"ENSG00000138653",0.322365343570709,0.0940989330410957,0.0212122742086649,1.57855083671166e-06
